ARTIST,ALBUM
Harry Styles,Fine Line
Lorde,Melodrama
Lorde,Pure Heroine
King Princess,Cheap Queen
Maggie Rogers,Heard It In A Past Life
HAIM,Something To Tell You
HAIM,Days Are Gone
